iter	Passed	Remaining
1303	969	2003
1304	969	2003
1305	970	2002
1306	971	2001
1307	971	2000
1308	972	1999
1309	973	1998
1310	973	1997
1311	974	1996
1312	975	1995
1313	975	1994
1314	976	1993
1315	977	1992
1316	977	1991
1317	978	1991
1318	979	1990
1319	979	1989
1320	980	1988
1321	981	1987
1322	981	1986
1323	982	1985
1324	983	1984
1325	983	1983
1326	984	1982
1327	985	1982
1328	985	1981
1329	986	1980
1330	987	1979
1331	987	1978
1332	988	1977
1333	989	1976
1334	989	1975
1335	990	1974
1336	990	1973
1337	991	1972
1338	992	1971
1339	992	1970
1340	993	1969
1341	993	1968
1342	994	1967
1343	995	1967
1344	995	1966
1345	996	1965
1346	997	1964
1347	997	1963
1348	998	1962
1349	999	1961
1350	999	1960
1351	1000	1959
1352	1001	1958
1353	1001	1957
1354	1002	1956
1355	1003	1955
1356	1003	1954
1357	1004	1953
1358	1004	1952
1359	1005	1952
1360	1006	1951
1361	1006	1950
1362	1007	1949
1363	1008	1948
1364	1008	1947
1365	1009	1946
1366	1010	1945
1367	1010	1944
1368	1011	1943
1369	1012	1943
1370	1012	1942
1371	1013	1941
1372	1014	1940
1373	1014	1939
1374	1015	1938
1375	1016	1937
1376	1016	1936
1377	1017	1935
1378	1017	1934
1379	1018	1933
1380	1018	1932
1381	1019	1931
1382	1020	1930
1383	1020	1929
1384	1021	1928
1385	1022	1927
1386	1022	1926
1387	1023	1926
1388	1024	1925
1389	1025	1924
1390	1025	1923
1391	1026	1923
1392	1027	1922
1393	1027	1921
1394	1028	1920
1395	1028	1919
1396	1029	1918
1397	1030	1917
1398	1030	1916
1399	1031	1915
1400	1032	1914
1401	1032	1913
1402	1033	1913
1403	1034	1912
1404	1034	1911
1405	1035	1910
1406	1036	1909
1407	1036	1908
1408	1037	1907
1409	1037	1906
1410	1038	1905
1411	1039	1905
1412	1040	1904
1413	1041	1905
1414	1042	1904
1415	1043	1904
1416	1044	1904
1417	1045	1903
1418	1046	1902
1419	1046	1901
1420	1047	1900
1421	1047	1899
1422	1048	1898
1423	1049	1897
1424	1049	1896
1425	1050	1895
1426	1051	1895
1427	1051	1894
1428	1052	1894
1429	1053	1893
1430	1054	1892
1431	1054	1891
1432	1055	1890
1433	1055	1889
1434	1056	1888
1435	1056	1887
1436	1057	1886
1437	1058	1885
1438	1059	1884
1439	1059	1884
1440	1060	1883
1441	1061	1883
1442	1062	1882
1443	1062	1881
1444	1063	1880
1445	1064	1879
1446	1064	1878
1447	1065	1878
1448	1066	1877
1449	1067	1876
1450	1068	1876
1451	1069	1877
1452	1070	1876
1453	1071	1876
1454	1072	1876
1455	1073	1876
1456	1074	1875
1457	1075	1875
1458	1076	1874
1459	1077	1874
1460	1078	1873
1461	1079	1873
1462	1079	1872
1463	1080	1872
1464	1081	1871
1465	1082	1871
1466	1083	1871
1467	1084	1870
1468	1085	1870
1469	1086	1869
1470	1087	1869
1471	1087	1868
1472	1088	1867
1473	1089	1867
1474	1090	1866
1475	1091	1866
1476	1092	1865
1477	1092	1864
1478	1093	1864
1479	1094	1863
1480	1095	1862
1481	1095	1862
1482	1096	1861
1483	1097	1860
1484	1098	1860
1485	1099	1859
1486	1099	1858
1487	1100	1858
1488	1101	1857
1489	1102	1856
1490	1103	1856
1491	1104	1856
1492	1105	1855
1493	1106	1855
1494	1106	1854
1495	1108	1854
1496	1109	1854
1497	1109	1853
1498	1110	1853
1499	1111	1852
1500	1112	1852
1501	1113	1851
1502	1114	1851
1503	1115	1850
1504	1115	1850
1505	1116	1849
1506	1117	1848
1507	1118	1847
1508	1119	1847
1509	1119	1846
1510	1120	1845
1511	1121	1845
1512	1122	1844
1513	1122	1843
1514	1123	1843
1515	1124	1842
1516	1125	1842
1517	1126	1842
1518	1127	1841
1519	1128	1840
1520	1129	1840
1521	1130	1840
1522	1130	1839
1523	1131	1839
1524	1133	1838
1525	1133	1838
1526	1134	1838
1527	1136	1838
1528	1137	1837
1529	1137	1836
1530	1138	1835
1531	1139	1834
1532	1139	1834
1533	1140	1833
1534	1141	1832
1535	1142	1832
1536	1142	1831
1537	1143	1830
1538	1144	1829
1539	1145	1830
1540	1146	1829
1541	1146	1828
1542	1147	1827
1543	1148	1827
1544	1149	1826
1545	1150	1825
1546	1150	1824
1547	1151	1823
1548	1152	1822
1549	1152	1822
1550	1153	1821
1551	1153	1820
1552	1154	1819
1553	1155	1818
1554	1156	1817
1555	1157	1817
1556	1158	1817
1557	1159	1816
1558	1160	1816
1559	1161	1816
1560	1162	1816
1561	1163	1815
1562	1164	1815
1563	1165	1814
1564	1165	1813
1565	1166	1813
1566	1167	1812
1567	1167	1811
1568	1168	1810
1569	1169	1809
1570	1170	1809
1571	1170	1808
1572	1171	1807
1573	1172	1806
1574	1172	1805
1575	1173	1804
1576	1174	1804
1577	1174	1803
1578	1175	1802
1579	1176	1801
1580	1176	1800
1581	1177	1799
1582	1178	1798
1583	1178	1797
1584	1179	1797
1585	1180	1796
1586	1180	1795
1587	1181	1794
1588	1182	1793
1589	1182	1792
1590	1183	1791
1591	1183	1790
1592	1184	1789
1593	1185	1789
1594	1185	1788
1595	1186	1787
1596	1187	1786
1597	1187	1785
1598	1188	1784
1599	1189	1783
1600	1189	1782
1601	1190	1782
1602	1191	1781
1603	1192	1780
1604	1192	1779
1605	1193	1778
1606	1194	1778
1607	1194	1777
1608	1195	1776
1609	1196	1775
1610	1197	1775
1611	1198	1775
1612	1199	1774
1613	1199	1773
1614	1200	1772
1615	1201	1771
1616	1202	1772
1617	1203	1771
1618	1203	1770
1619	1204	1769
1620	1205	1768
1621	1206	1768
1622	1206	1767
1623	1207	1766
1624	1208	1765
1625	1208	1764
1626	1209	1764
1627	1209	1762
1628	1210	1762
1629	1211	1761
1630	1211	1760
1631	1212	1759
1632	1213	1758
1633	1214	1758
1634	1215	1758
1635	1216	1757
1636	1216	1756
1637	1217	1755
1638	1217	1754
1639	1218	1753
1640	1219	1752
1641	1219	1751
1642	1220	1751
1643	1221	1750
1644	1222	1749
1645	1222	1748
1646	1223	1747
1647	1223	1746
1648	1224	1745
1649	1225	1744
1650	1225	1743
1651	1226	1743
1652	1227	1742
1653	1227	1741
1654	1228	1740
1655	1228	1739
1656	1229	1738
1657	1230	1737
1658	1230	1736
1659	1231	1736
1660	1232	1735
1661	1232	1734
1662	1233	1733
1663	1234	1732
1664	1234	1731
1665	1235	1731
1666	1236	1730
1667	1237	1729
1668	1237	1728
1669	1238	1728
1670	1239	1727
1671	1240	1726
1672	1240	1725
1673	1241	1724
1674	1241	1723
1675	1242	1723
1676	1243	1722
1677	1243	1721
1678	1244	1720
1679	1245	1719
1680	1245	1718
1681	1246	1718
1682	1247	1717
1683	1248	1716
1684	1248	1715
1685	1249	1714
1686	1250	1714
1687	1250	1713
1688	1251	1712
1689	1252	1711
1690	1252	1710
1691	1253	1709
1692	1254	1708
1693	1254	1708
1694	1255	1707
1695	1256	1706
1696	1256	1705
1697	1257	1704
1698	1257	1703
1699	1258	1702
1700	1259	1701
1701	1259	1700
1702	1260	1700
1703	1261	1699
1704	1261	1698
1705	1262	1697
1706	1263	1696
1707	1263	1695
1708	1264	1694
1709	1265	1694
1710	1266	1694
1711	1267	1693
1712	1267	1692
1713	1268	1691
1714	1268	1690
1715	1269	1690
1716	1270	1689
1717	1271	1688
1718	1271	1687
1719	1272	1686
1720	1273	1686
1721	1274	1685
1722	1275	1684
1723	1275	1684
1724	1276	1683
1725	1277	1682
1726	1277	1681
1727	1278	1680
1728	1278	1679
1729	1279	1678
1730	1280	1677
1731	1280	1677
1732	1281	1676
1733	1282	1675
1734	1282	1674
1735	1283	1673
1736	1283	1672
1737	1284	1671
1738	1285	1671
1739	1285	1670
1740	1286	1669
1741	1287	1668
1742	1287	1667
1743	1288	1666
1744	1288	1665
1745	1289	1664
1746	1290	1663
1747	1290	1663
1748	1291	1662
1749	1291	1661
1750	1292	1660
1751	1293	1659
1752	1293	1658
1753	1294	1657
1754	1295	1656
1755	1295	1656
1756	1296	1655
1757	1297	1654
1758	1297	1653
1759	1298	1652
1760	1299	1651
1761	1299	1650
1762	1300	1650
1763	1301	1649
1764	1301	1648
1765	1302	1647
1766	1303	1646
1767	1303	1645
1768	1304	1645
1769	1305	1644
1770	1305	1643
1771	1306	1642
1772	1306	1641
1773	1307	1640
1774	1308	1639
1775	1308	1638
1776	1309	1637
1777	1309	1637
1778	1310	1636
1779	1311	1635
1780	1311	1634
1781	1312	1633
1782	1313	1632
1783	1313	1632
1784	1314	1631
1785	1315	1630
1786	1315	1629
1787	1316	1628
1788	1317	1627
1789	1317	1626
1790	1318	1626
1791	1319	1625
1792	1319	1624
1793	1320	1623
1794	1321	1622
1795	1321	1621
1796	1322	1621
1797	1322	1620
1798	1323	1619
1799	1324	1618
1800	1324	1617
1801	1325	1616
1802	1325	1615
1803	1326	1614
1804	1327	1613
1805	1327	1613
1806	1328	1612
1807	1329	1611
1808	1329	1610
1809	1330	1609
